0.000000          -0.351776
0.693147          -0.469261
1.098612          -0.625852
1.386294          -0.670242
1.609438          -0.977751
1.791759          -0.590988
1.945910          -0.601540
2.079442          -0.882853
2.197225          -0.684005
2.302585          -0.917431
2.397895          -1.008441
2.484907          -0.756789
2.564949          -0.765474
2.639057          -0.827850
2.708050          -0.657927
2.772589          -1.007083
2.833213          -0.848724
2.890372          -0.982153
2.944439          -0.931116
