0.000000        -0.342613             0.006265
0.693147        -0.495711             0.005798
1.098612        -0.609596             0.014245
1.386294        -0.696318             0.011240
1.609438        -0.720806             0.021112
1.791759        -0.754358             0.016364
1.945910        -0.794538             0.020119
2.079442        -0.830135             0.020361
2.197225        -0.806548             0.023515
2.302585        -0.873551             0.045444
2.397895        -0.882153             0.015087
2.484907        -0.916436             0.018148
2.564949        -0.940991             0.026269
2.639057        -0.915287             0.032385
2.708050        -0.912860             0.026086
2.772589        -0.986582             0.028064
2.833213        -0.943409             0.028195
2.890372        -0.925062             0.023030
2.944439        -0.946391             0.027769
2.995732        -0.966999             0.009970
3.044522        -0.971578             0.015373
3.091042        -1.012297             0.009219
3.135494        -0.993469             0.020629
3.178054        -1.032181             0.012944
3.218876        -1.075698             0.032624
3.258097        -0.911978             0.033886
3.295837        -1.026802             0.020962
3.332205        -0.959405             0.012672
3.367296        -0.981453             0.012287
3.401197        -1.050280             0.028168
3.433987        -1.009246             0.019108
3.465736        -0.960006             0.016927
3.496508        -1.039391             0.028858
3.526361        -1.048533             0.030329
