0.000000          -0.338389
0.693147          -0.493496
1.098612          -0.581204
1.386294          -0.644751
1.609438          -0.674695
1.791759          -0.730234
1.945910          -0.755463
2.079442          -0.761698
2.197225          -0.779107
2.302585          -0.804964
2.397895          -0.860053
2.484907          -0.814077
2.564949          -0.888887
2.639057          -0.853312
2.708050          -0.829045
2.772589          -0.863339
2.833213          -0.868194
2.890372          -0.882880
2.944439          -0.861785
