0.000000          -0.386006
0.693147          -0.362408
1.098612          -0.544865
1.386294          -0.734050
1.609438          -0.837231
1.791759          -0.635511
1.945910          -0.462377
2.079442          -1.002088
2.197225          -0.989980
2.302585          -0.653728
2.397895          -0.908198
2.484907          -0.771045
2.564949          -0.631899
2.639057          -0.617321
2.708050          -0.802039
2.772589          -1.128172
2.833213          -0.949583
2.890372          -0.827291
2.944439          -0.614986
2.995732          -0.703172
3.044522          -0.925353
3.091042          -0.999096
3.135494          -0.899411
3.178054          -0.788441
3.218876          -0.427036
3.258097          -0.763185
3.295837          -1.157037
3.332205          -0.713931
3.367296          -1.484241
