0.000000        -0.345708             0.004721
0.693147        -0.499033             0.009972
1.098612        -0.621237             0.005594
1.386294        -0.682331             0.022237
1.609438        -0.724532             0.019197
1.791759        -0.782311             0.017097
1.945910        -0.807589             0.037762
2.079442        -0.835014             0.013741
2.197225        -0.816611             0.015585
2.302585        -0.848654             0.014009
2.397895        -0.850515             0.023660
2.484907        -0.832073             0.013683
2.564949        -0.891868             0.021127
2.639057        -0.921312             0.007190
2.708050        -0.928144             0.032540
2.772589        -0.942865             0.013465
2.833213        -0.920567             0.013685
2.890372        -0.928462             0.025733
2.944439        -0.918824             0.042151
2.995732        -0.891505             0.018624
3.044522        -0.910316             0.023086
3.091042        -0.958000             0.035379
3.135494        -0.982946             0.033178
3.178054        -0.966132             0.014700
3.218876        -0.984881             0.023701
3.258097        -0.972189             0.029621
3.295837        -0.925331             0.044162
3.332205        -1.048964             0.034241
3.367296        -0.996022             0.029431
