0.000000          -0.342928
0.693147          -0.645527
1.098612          -0.703731
1.386294          -0.493011
1.609438          -0.589405
1.791759          -0.625666
1.945910          -0.731447
2.079442          -0.773022
2.197225          -0.644289
2.302585          -1.049500
2.397895          -1.062656
2.484907          -0.919075
2.564949          -1.600472
2.639057          -0.772425
2.708050          -0.669140
2.772589          -0.690325
2.833213          -0.774614
2.890372          -0.631267
2.944439          -0.645305
2.995732          -1.116864
3.044522          -0.729318
3.091042          -0.637759
3.135494          -0.695630
3.178054          -0.661399
